,0
0,Brc1ccccc1
1,C=CC
2,C=Cc1ccccc1
3,C=O
4,CC
5,CC#N
6,CC(=O)N(C)C
7,CC(=O)N1CCCC(C)C1
8,CC(=O)N1CCCC1
9,CC(=O)N1CCCCC1
10,CC(=O)N1CCN(C)CC1
11,CC(=O)N1CCNCC1
12,CC(=O)NC(C)C
13,CC(=O)NN
14,CC(=O)Nc1ccc(O)cc1
15,CC(=O)Nc1ccccc1
16,CC(=O)Nc1ccccc1C
17,CC(=O)O
18,CC(=O)[O-]
19,CC(C)(C)C
20,CC(C)=O
21,CC(C)C
22,CC(C)C=O
23,CC(C)CN
24,CC(C)N
25,CC(C)NC(N)=O
26,CC(C)NC=O
27,CC(C)NCN
28,CC(C)O
29,CC(C)[NH3+]
30,CC(C)c1ccccc1
31,CC(F)(F)F
32,CC(F)F
33,CC(N)=O
34,CC(N)C(N)=O
35,CC(N)C=O
36,CC(N)CN
37,CC(N)c1ccccc1
38,CC(NC=O)c1ccccc1
39,CC1CC1
40,CC1CCCCC1
41,CC1CCCN(C)C1
42,CC1CCCN(C=O)C1
43,CC1CCCNC1
44,CC1CCCO1
45,CC1CCN(C)C1
46,CC1CCNC1
47,CC1CC[NH+](C)CC1
48,CC1CC[NH2+]CC1
49,CC1CN(C)CCO1
50,CC1CNCCO1
51,CC=O
52,CCC
53,CCC(=O)NC
54,CCC(C)C
55,CCC(C)N
56,CCC(C)NC
57,CCC(C)NC=O
58,CCC(N)=O
59,CCC=O
60,CCCC
61,CCCC(N)=O
62,CCCC=O
63,CCCCN
64,CCCN
65,CCCNC
66,CCCNC(C)=O
67,CCCNC=O
68,CCCNCC
69,CCCO
70,CCC[NH3+]
71,CCF
72,CCN
73,CCN(C)C
74,CCN(C)C(C)=O
75,CCN(C)C=O
76,CCN(C)CC
77,CCN1CCCC(C)C1
78,CCN1CCCC1
79,CCN1CCCCC1
80,CCN1CCN(C)CC1
81,CCN1CCNCC1
82,CCNC
83,CCNC(=O)NC
84,CCNC(C)=O
85,CCNC(C)C
86,CCNC(N)=O
87,CCNC=O
88,CCNCC
89,CCNCN
90,CCNCNC
91,CCNCc1ccccc1
92,CCNN
93,CCNc1ccc(O)cc1
94,CCNc1ccc(OC)cc1
95,CCNc1ccccc1
96,CCNc1ccccc1C
97,CCO
98,CCOC
