,smiles,score
3,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,1.0
2,CC1=CC=C(C2=C(C(F)(F)F)C=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,0.7317073170731707
0,CC1=C(C(F)(F)F)C=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,0.6511627906976745
1,CC1=CC(C(F)(F)F)=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,0.6511627906976745
4,CC1=CC=C(C2=CC=NN2C2=C(C(F)(F)F)C=C(S(N)(=O)=O)C=C2)C=C1,0.6511627906976745
9,CC1=CC=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C=C2)C(C(F)(F)F)=C1,0.6511627906976745
10,CC1=CC=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1C(F)(F)F,0.6511627906976745
11,CC1=CC=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C=C2C(F)(F)F)C=C1,0.6511627906976745
5,CC1=CC=C(C2=CC=NN2C2=CC(C(F)(F)F)=C(S(N)(=O)=O)C=C2)C=C1,0.632183908045977
8,CC1=CC=C(C2=CC=NN2C2=CC=C(S(N)(=O)=O)C(C(F)(F)F)=C2)C=C1,0.632183908045977
6,CC1=CC=C(C2=CC=NN2C2=CC=C(S(=O)(=O)CC(F)(F)F)C=C2)C=C1,0.625
7,CC1=CC=C(C2=CC=NN2C2=CC=C(S(=O)(=O)NC(F)(F)F)C=C2)C=C1,0.625
12,NS(=O)(=O)C1=CC=C(N2N=CC=C2C2=CC=C(CC(F)(F)F)C=C2)C=C1,0.6067415730337079
