smiles,score
CNC1=CC=CC(C(=O)N(CCCCCCC(S)C2=CC(C)=CC=C2)CCC(C)C2=CC=CC=C2O)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCCCC(C)C2=CC=CC=C2O)CCC(S)C2=CC(C)=CC=C2)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCC(C)C2=CC=CC=C2O)CCCCC(S)C2=CC(C)=CC=C2)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCCC(C)C2=CC=CC=C2O)CCCC(S)C2=CC(C)=CC=C2)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCCCCC(S)C2=CC(C)=CC=C2)CC(C)C2=CC=CC=C2O)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCCCCC(C)C2=CC=CC=C2O)CC(S)C2=CC(C)=CC=C2)=C1,0.999999997
CNC1=CC=CC(C(=O)N(CCCCCC(S)C2=CC(C)=CC=C2)CCCC(C)C2=CC=CC=C2O)=C1,0.999999997
CCCCCCCCCN(CC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCCCCCN(CCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCCCCN(CCCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCN(CCCCCCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCCCN(CCCCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCCN(CCCCCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCC1=CC=C(N(CC)CCCCCCCCC(CC)C2=CC=CC=C2)C=C1,0.99999998
CCC1=CC=C(N(C)CCCCCCCCCC(CC)C2=CC=CC=C2)C=C1,0.99999998
CCCN(CCCCCCCC(CC)C1=CC=CC=C1)C1=CC=C(CC)C=C1,0.99999998
CCCCCCC(CCCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CCCCCCCCC(CNC)(CC(SC)C1=CC=CC(C)=C1)C1=CC=C(C)C=C1,0.999984095
CCCCCCCCCC(CNC)(C1=CC=C(C)C=C1)C(SC)C1=CC=CC(C)=C1,0.999984095
CCCCC(CCCCCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CCC(CCCCCCCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CCCCCC(CCCCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CCCCCCCC(CCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CNCC(C)(CCCCCCCCC(SC)C1=CC=CC(C)=C1)C1=CC=C(C)C=C1,0.999984095
CCCC(CCCCCCC(SC)C1=CC=CC(C)=C1)(CNC)C1=CC=C(C)C=C1,0.999984095
CCCCCCCCCCCCC(NCNC1=CC=C(C)C=C1)C1=CC=CC=C1,0.999980029
CCCCCCCCCCC(C1=CC=C(C)C=C1)C1=C(NC)C=CC(C)=C1,0.999969268
CCCCCCCCCCC(C1=CC=C(C)C=C1)C1=CC(NC)=CC=C1C,0.999969268
CCCCCCCCCCC(C1=CC=C(C)C=C1)C1=CC(C)=CC=C1NC,0.999969268
CCCCCCCCCCC(C1=CC=C(C)C=C1)C1=C(C)C=CC(NC)=C1,0.999969268
CCCCCCCCCCC(NCNC1=CC=C(C)C=C1)(SC)C1=CC=CC(C)=C1,0.999957312
CCCCCCCCCCC(C1=CC=C(C)C=C1)N(C)C1=CC=C(C)C=C1,0.999931089
CCCCCCCCCCC(C)=C(NCNC1=CC=C(NCNCCC)C=C1)C1=CC=CC(OC)=C1,0.999890486
CCCCCCCCCC(CC)C1=CC=C(CCNC2=CC=C(OC)C=C2)C=C1,0.999873603
CCCCCC(CCCC(CC)C1=CC=C(C)C=C1)CNC1=CC=C(OC)C=C1,0.999714913
CCCCCCCCC(CNC1=CC=C(OC)C=C1)C(CC)C1=CC=C(C)C=C1,0.999714913
CCCCCCCCCC(C1=CC=C(C)C=C1)C(C)CNC1=CC=C(OC)C=C1,0.999714913
CCC(CCCCCCC(CC)C1=CC=C(C)C=C1)CNC1=CC=C(OC)C=C1,0.999714913
CCCC(CCCCCC(CC)C1=CC=C(C)C=C1)CNC1=CC=C(OC)C=C1,0.999714913
CCCCCCCC(CNC1=CC=C(OC)C=C1)CC(CC)C1=CC=C(C)C=C1,0.999714913
CCCCC(CCCCC(CC)C1=CC=C(C)C=C1)CNC1=CC=C(OC)C=C1,0.999714913
CCCCCCC(CCC(CC)C1=CC=C(C)C=C1)CNC1=CC=C(OC)C=C1,0.999714913
CCC(CCCCCCCC(C)CNC1=CC=C(OC)C=C1)C1=CC=C(C)C=C1,0.999714913
CCCCCCC(CCCCC)C1=C(C2=C(CNC)C=CC(C)=C2)C(OC)=CC=C1,0.999704313
CCCCCCC(CCCCC)C1=C(C2=C(C)C=CC(CNC)=C2)C(OC)=CC=C1,0.999704313
CCCCCCC(CCCCC)C1=C(C)C(OC)=CC=C1C1=CC=C(CNC)C=C1,0.999704313
