smiles,score
COC1=CC=C(N(C)CC(=O)NC(CN(C)C)C(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.923101696
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)C(N)CN(C)C)C=CC=C2)=CC=N1,0.923101696
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NC(CN(C)C)C(N)=O)=C1,0.923101696
COC1=CC=C(NC2=NC(C3=C(NC(=O)C(N)CN(C)C)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.923101696
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)N(CC(N)=O)CN(C)C)=C1,0.922655388
COC1=CC=C(N(C)CC(=O)N(CC(N)=O)CN(C)C)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.922655388
COC1=CC=C(N(CCN(C)C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.921412573
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(CCN(C)C)CC(=O)NCC(N)=O)=C1,0.921412573
CN(C)CCOC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.916814308
CN(C)CCOC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.916814308
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NC(C)(C(N)=O)N(C)C)=C1,0.914178419
COC1=CC=C(NC2=NC(C3=C(NC(=O)C(C)(N)N(C)C)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.914178419
COC1=CC=C(N(C)CC(=O)NC(C)(C(N)=O)N(C)C)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.914178419
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)C(C)(N)N(C)C)C=CC=C2)=CC=N1,0.914178419
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)C(CN(C)C)C(=O)NCC(N)=O)=C1,0.913861566
COC1=C(CN(C)C)C=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.913861566
COC1=CC(CN(C)C)=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.913861566
COC1=CC=C(N(C)C(CN(C)C)C(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.913861566
CCN(C)C(N)C(=O)NC1=C(C2=CC=NC(NC3=CC(N(C)CC(=O)NCC(N)=O)=CC=C3OC)=N2)C=CC=C1,0.91251778
CCN(C)C(NC(=O)CN(C)C1=CC(OC)=CC=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1)C(N)=O,0.91251778
CCN(C)C(NC(=O)CN(C)C1=CC=C(OC)C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)=C1)C(N)=O,0.91251778
CCN(C)C(N)C(=O)NC1=C(C2=CC=NC(NC3=CC=C(OC)C=C3N(C)CC(=O)NCC(N)=O)=N2)C=CC=C1,0.91251778
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CNCN(C)C)C=CC=C2)=CC=N1,0.912213478
COC1=CC=C(N(C)CC(=O)NCC(=O)NCN(C)C)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.912213478
COC1=CC=C(NC2=NC(C3=C(NC(=O)CNCN(C)C)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.912213478
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(=O)NCN(C)C)=C1,0.912213478
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C(CN(C)C)=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.909237211
COC1=CC(CN(C)C)=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.909237211
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C(CN(C)C)=CC=C2)=CC=N1,0.909237211
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1CN(C)C,0.909237211
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(N(CN(C)C)C(=O)CN)C=CC=C2)=CC=N1,0.909237211
COC1=CC=C(NC2=NC(C3=C(N(CN(C)C)C(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.909237211
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2CN(C)C)=CC=N1,0.909237211
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C(CN(C)C)=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.909237211
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3CN(C)C)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.909237211
COC1=C(CN(C)C)C=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.909237211
COC1=CC=C(NC2=NC(C3=C(C(CN(C)C)C(=O)CN)C=CC=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.907949025
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(C(CN(C)C)C(=O)CN)C=CC=C2)=CC=N1,0.907949025
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC=C3)=CC=N2)C(N(C)C(C)(C(=O)NCC(N)=O)N(C)C)=C1,0.90489886
COC1=CC=C(N(C)C(C)(C(=O)NCC(N)=O)N(C)C)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.90489886
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=C(CN(C)C)C=C2)=CC=N1,0.904608804
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=C(CN(C)C)C=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.904608804
COC1=CC=C(N(C)CC(=O)NCC(N)=O)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC(CN(C)C)=C2)=CC=N1,0.904608804
COC1=CC=C(NC2=NC(C3=C(NC(=O)CN)C=CC(CN(C)C)=C3)=CC=N2)C(N(C)CC(=O)NCC(N)=O)=C1,0.904608804
COC1=CC=C(N(CC(=O)NCC(N)=O)C(C)N(C)C)C=C1NC1=NC(C2=C(NC(=O)CN)C=CC=C2)=CC=N1,0.903278623
